title,name,dataset_url,pdf,csv,xml,html
"Sestava celotnega izvoza snovi - v države znotraj in izven EU (1000 ton), Slovenija, letno",surs2724708s,https://podatki.gov.si/data/dataset/surs2724708s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2724708S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8281|https://www.stat.si/doc/px/pxwin.rar
"Sestava uvoza snovi iz držav izven EU-28 (1000 ton), Slovenija, 1995–2020",surs2724711s,https://podatki.gov.si/data/dataset/surs2724711s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2724711S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8281|https://www.stat.si/doc/px/pxwin.rar
"Sestava izvoza snovi v države izven EU-27 [1000 ton], Slovenija, 2000 - 2012",surs2724709s,https://podatki.gov.si/data/dataset/surs2724709s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2724709S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8281|https://www.stat.si/doc/px/pxwin.rar
"Sestava celotnega uvoza snovi - iz držav znotraj in izven EU (1000 ton), Slovenija, letno",surs2724706s,https://podatki.gov.si/data/dataset/surs2724706s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2724706S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8281|https://www.stat.si/doc/px/pxwin.rar
"Sestava uvoza snovi iz držav izven EU-27 [1000 ton], Slovenija, 2000 - 2012",surs2724707s,https://podatki.gov.si/data/dataset/surs2724707s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2724707S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8281|https://www.stat.si/doc/px/pxwin.rar
"Sestava izvoza snovi v države izven EU-28 (1000 ton), Slovenija, 1995–2020",surs2724712s,https://podatki.gov.si/data/dataset/surs2724712s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2724712S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8281|https://www.stat.si/doc/px/pxwin.rar
