title,name,dataset_url,pdf,csv,xml,html
"Delovno aktivno prebivalstvo, registrirano brezposelne osebe in stopnje registrirane brezposelnosti po starostnih skupinah in občinah prebivališča, Slovenija, 2010M01 - 2016M12",surs0700995s,https://podatki.gov.si/data/dataset/surs0700995s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0700995S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8138|https://www.stat.si/doc/px/pxwin.rar
"Gospodinjstva po številu članov, občine in naselja, Slovenija, večletno",surs05f4005s,https://podatki.gov.si/data/dataset/surs05f4005s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05F4005S.PX|https://www.stat.si/StatWeb/File/DocSysFile/8211|https://www.stat.si/doc/px/pxwin.rar
"Najpogostejši vzrok smrti po spolu, statistične regije, Slovenija, letno",surs05l3016s,https://podatki.gov.si/data/dataset/surs05l3016s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05L3016S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9513|https://www.stat.si/doc/px/pxwin.rar
"Izbrani podatki po občinah, Slovenija, letno",surs2640010s,https://podatki.gov.si/data/dataset/surs2640010s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/2640010S.PX|https://www.stat.si/doc/px/pxwin.rar
"Gostota naseljenosti, mestna naselja, Slovenija, letno",sursh234s,https://podatki.gov.si/data/dataset/sursh234s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/H234S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7808|https://www.stat.si/doc/px/pxwin.rar
"Skupni prirast prebivalstva, občine, Slovenija, letno",surs05i3002s,https://podatki.gov.si/data/dataset/surs05i3002s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05I3002S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9518|https://www.stat.si/doc/px/pxwin.rar
"Delovno aktivno prebivalstvo po starostnih skupinah in statističnih regijah prebivališča, Slovenija, mesečno",surs0700992s,https://podatki.gov.si/data/dataset/surs0700992s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0700992S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9538|https://www.stat.si/doc/px/pxwin.rar
"Tujci po skupinah državljanstva, kohezijski regiji, Slovenija, letno",surs05e1014s,https://podatki.gov.si/data/dataset/surs05e1014s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05E1014S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7808|https://www.stat.si/doc/px/pxwin.rar
"Delovno aktivno prebivalstvo po statusu aktivnosti in občinah delovnega mesta, Slovenija, mesečno",surs0700941s,https://podatki.gov.si/data/dataset/surs0700941s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0700941S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9538|https://www.stat.si/doc/px/pxwin.rar
Kulturna društva Občine Kamnik,kulturna-drustva-obcine-kamnik,https://podatki.gov.si/data/dataset/kulturna-drustva-obcine-kamnik,,https://podatki.gov.si/dataset/d821bd48-411e-4397-8491-d980a3815851/resource/02f400e0-678b-41f6-95ac-b99b14a18b68/download/kulturnadrustva.csv,,http://www.kamnik.si/objave/49|http://mrrsp.gov.si/rdruobjave/dr/index.faces
"Skrajšane tablice umrljivosti prebivalstva po spolu, Slovenija, letno",surs05l4004s,https://podatki.gov.si/data/dataset/surs05l4004s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05L4004S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9513|https://www.stat.si/doc/px/pxwin.rar
"Prebivalstvo po starosti, občine, Slovenija, polletno",surs05c4003s,https://podatki.gov.si/data/dataset/surs05c4003s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05C4003S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7808|https://www.stat.si/doc/px/pxwin.rar
turistična društva,turisticna-drustva,https://podatki.gov.si/data/dataset/turisticna-drustva,,https://podatki.gov.si/dataset/20b2814b-33d3-42e0-bf40-395dbec89366/resource/4dbe9837-8305-4d75-9861-aef9f6bdbd19/download/turistinadrutva.csv,,
"Prebivalstvo po starosti in spolu, občine, Slovenija, 2008H1 - 2020H2",surs05c4002s,https://podatki.gov.si/data/dataset/surs05c4002s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05C4002S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7808|https://www.stat.si/doc/px/pxwin.rar
"Izbrane starostne skupine prebivalstva, povprečna starost in indeks staranja, po tipu naselja, Slovenija, popisa 1991, 2002",surs05w1602s,https://podatki.gov.si/data/dataset/surs05w1602s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/05W1602S.PX|https://www.stat.si/doc/px/pxwin.rar
"Delovno aktivni invalidi (brez kmetov) po občinah delovnega mesta in spolu, Slovenija, letno",surs0765505s,https://podatki.gov.si/data/dataset/surs0765505s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0765505S.PX|https://www.stat.si/StatWeb/File/DocSysFile/9538|https://www.stat.si/doc/px/pxwin.rar
"Delovno aktivni glede na zaposlitveni status, po spolu, kohezijskii regiji, Slovenija, četrtletno",surs0762004s,https://podatki.gov.si/data/dataset/surs0762004s,,,,https://pxweb.stat.si/SiStatData/pxweb/sl/Data/-/0762004S.PX|https://www.stat.si/StatWeb/File/DocSysFile/7788|https://www.stat.si/doc/px/pxwin.rar
